CLIENTNUM,Credit_Limit,Total_Trans_Amt
715352883,24904,5176
826410708,22956,5554
715118058,20274,5274
715948833,24931,5031
750147483,24299,5320
711286533,13448,5067
715276683,24287,5495
789948408,34516,5220
713876958,14140,5036
716841783,18733,5080
716013858,20231,5002
803097333,10873,5089
783500283,29100,5041
806428908,13397,5049
718048608,15292,5120
715395933,11238,5302
709296558,18551,5364
778236858,11794,5547
718142958,21839,5623
781942983,17827,5010
807604233,11114,5044
717684858,22304,5002
716968683,11287,5157
819612933,25410,5472
719601708,10699,5052
778143183,11773,5098
811889808,23459,7279
715091208,18177,8512
713487633,34516,7663
789363408,34516,7427
713916708,34516,7758
717756258,16494,7761
772313358,21322,8693
716288208,15618,7549
718712583,34496,8092
768848658,16583,7823
711542358,15987,7471
714042108,11000,7302
713894358,34516,7889
713664258,14344,7359
718078008,20304,7494
779018508,11318,7179
718320933,11919,8257
708474333,12294,7906
717244683,21922,7409
711410958,13452,7582
799711833,24735,7910
711082908,19719,8385
721190358,29690,7640
714754533,34516,8012
714713508,25178,7836
809169858,18224,7728
718379358,34516,8453
708907833,24965,7866
708693558,12569,7344
718665933,34516,7437
715851333,13804,7376
721212258,30210,7403
819975183,17077,7391
720712533,34516,7499
709861008,27720,8520
713911233,18341,7584
712580958,27712,7399
711764733,19704,7766
794124708,21325,7053
780707733,34516,6832
720849708,14388,7042
719658858,34516,7042
712029783,34516,7836
718893333,18336,7509
718567758,10682,7332
714166833,13609,7796
789681708,34516,7750
713102733,15987,8195
812408058,34516,7845
787226508,20811,7192
713537733,34516,7582
709235058,18956,8032
714786483,13445,7377
719787633,34516,7535
713697933,34516,7827
712208658,13165,8126
717521508,34516,6932
712405908,24670,7772
789298833,23453,7555
715729683,34516,7936
712266633,14800,8796
721468533,12265,7470
720167508,19000,7664
711152658,34516,7219
771772083,13197,8424
709372608,23457,7370
711136008,31560,7641
812618883,34516,7774
715908558,29572,7566
719784708,26882,7409
712453308,15034,7737
720859533,12214,8426
789556533,23070,8070
792524358,34516,7917
716871633,12055,7222
718491708,16592,7642
787502883,34516,7443
715183308,33184,7190
713872833,10753,7302
717248583,11362,7849
713087958,34516,7919
721495458,20001,8094
715599633,34516,7686
717397983,23402,7570
772404633,34516,7734
713302758,14646,8160
717859233,12578,8362
789175683,10741,8352
818476383,34516,7333
708153558,34516,7936
717340608,34516,7703
719607183,21046,7653
715839708,34516,7111
788240358,33441,8452
709238358,19387,7604
708968733,31987,7926
740065833,11128,8526
718189908,23981,7885
780064983,34516,7665
770920908,22054,8055
772869033,34516,7283
708877458,11343,8027
787496733,15155,7724
789469083,10795,7855
720412308,34516,7635
719178183,34516,8186
789560433,14895,5147
715360458,12406,8113
779263533,32292,7564
773988708,34516,7512
719623083,15987,8302
711128433,10949,7685
789960783,10398,7702
709556208,22361,7586
794482158,34516,7594
710016708,10877,7974
778716783,11552,7180
712447758,11901,7998
778430733,12399,7855
717583908,15030,7603
721227258,34516,7520
717600483,23223,7358
719121708,31497,7685
711550983,11343,8313
788824083,34516,8202
719157933,10984,7850
716704158,34516,8087
716258358,23058,7009
827904183,17606,8104
820394733,34516,7690
716574033,18000,7149
709838508,34516,7167
711370458,15016,7685
716745408,12813,7803
788916933,34516,8095
761818758,11210,7206
714422058,31639,7119
712191783,34516,7788
716319258,34516,7360
712351908,26438,8029
708160008,34516,7412
709269708,34516,7281
779098308,15048,7592
775112958,11548,7781
718100808,15987,7395
772430733,34516,7168
713460258,19107,8987
820036533,34516,7223
719785683,21751,8332
718306308,27984,8147
772725408,24499,7667
710596983,27318,7481
717382608,26692,8780
825767658,34516,7711
717513933,14938,7385
789186858,33256,7796
717658758,34516,7962
715396983,17698,8056
712624383,34516,7707
713761608,34516,8450
720422358,34516,7485
789304983,22226,8753
779257233,28852,7432
778439883,26840,7969
711559008,11642,9137
710395233,34516,8657
780108408,34516,7745
719677758,10830,8814
794191008,34516,7552
708905733,20633,7570
751974258,11954,7345
805516608,34516,7755
718889508,10074,8256
824799108,10901,7498
713133258,34516,8872
717370533,34516,6453
712948383,34516,7396
712839633,34516,8871
820330008,32926,8231
826150608,18072,8199
779187783,24533,8436
714054408,12889,8272
801064833,30117,7930
714510483,34516,7640
718246458,24262,8241
710822808,34516,7854
709722858,20708,8503
714999483,34516,9389
711388458,17072,8591
796174983,25737,7722
715459158,16950,7821
712687083,15043,7234
812443458,25808,7794
717559533,34516,8212
709770408,34516,8652
770705208,15365,7890
779548008,34516,7745
711742758,11508,5242
711947358,18991,7716
814760358,14627,7766
718977483,25736,7209
808287408,29227,8420
709619433,34516,8604
708881583,12458,8752
717696333,34516,5425
820587258,10677,8637
779779083,23981,7872
804601833,34516,7491
714823308,15987,7345
716806383,28307,9042
718756533,13356,8963
709530408,34516,8007
718353633,34516,5547
718528833,30172,8879
710569233,11814,9185
718694658,28687,7523
779293308,25653,8305
712654233,19150,8327
719296383,34516,7885
808279158,11765,8914
780497958,16627,7996
715519983,13553,8751
708568983,11476,8110
716837508,18477,8695
720522633,16199,8150
712938258,12695,8328
709046958,30379,9059
711364233,34516,8888
708428958,34516,9179
719714658,12218,5272
720874983,34516,8736
719180958,21754,9105
823848183,15987,8438
783121008,12094,8285
708500883,17812,8379
811965558,13743,9406
714383583,23981,8646
809425533,15785,8097
812534958,19000,8443
714052158,11714,5366
780200208,11135,8777
711458583,34516,8582
826451433,34516,8502
719740983,13259,8998
710213508,23355,8634
710814633,20734,8888
712268808,34516,8765
779805408,14630,8217
720698883,28605,5524
714190983,34516,5418
713808633,10850,13794
710295858,24244,8074
713209308,17218,7971
788709408,14746,14771
717757608,34516,8938
715300683,34458,8271
711436983,34516,8596
790168083,22741,8438
770848308,34516,8773
713486583,17277,8838
708697983,34516,8766
823539558,33565,8360
711339258,20176,8255
755212608,13067,5468
771674958,11529,8135
799468083,11467,14373
718993533,15821,8927
713870958,34516,8416
709171308,15795,13173
713236458,18980,8295
